Country,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008
Afghanistan,0,0,0,0,0,0,0,0,26926,18960,7782,1645,0,0,0
Albania,,,,,,3000,935,,,,,,,,
Angola,1516,7409,8728,5768,5116,400,,,,3206,2395,38,,,
Bolivia,,,,,,,,,,,5286,5610,6424,2803,
Bosnia,,983,9054,7427,8944,4328,1059,,,,,,,,
Burundi,,,,,,,,,2106,2187,7229,6268,2619,,
Cambodia,,,,,,32,,,,,,,,,
Colombia,,,,,,1075,965,3656,,,,,,8000,14092
Congo DRC,,,,1069,7195,3767,2708,212,3684,4410,6857,6209,4896,,
Croatia,,,,,810,2686,1640,,,,,,,,
Cuba,,,,,,,,,,,,,,1000,7632
East Timor,,,,,,,12439,9800,6052,1813,,,,,
El Salvador,,,,,,,,2000,,,,,,,
Guatemala,,,,4706,2030,25,,,,,,,,,
Haiti,6900,10400,4700,2,,,,,,,3677,4347,8834,,
Honduras,,,,,,4735,127,,,,,,,,
Indonesia,,,,,7274,16167,8811,11028,6867,2000,,,,,
Iraq,,,,,,,,,,48484,158732,165005,35026,,
Ireland,,,,,,800,,,,,,,,,
Kenya,,,,,,,,,,,,,,,5749
Kosovo,,,,,,12680,8570,7105,370,,,,,,
Lebanon,,,,,,1089,731,1033,,,,,,7000,4778
Liberia,,,76,1715,418,,,,,,12271,2576,8847,5341,61
Macedonia,,,,,,,,923,10549,6483,,,,,
Nepal,,,,,,,,,,,,,2057,7910,6894
Nigeria,,,,,33,8487,8905,5699,60,,,,,,
Pakistan,,,,,,,,,,,,,,372,26423
Peru,,,,,,,,3316,7658,85,,,,,
Philippines,,,,867,1566,2033,1533,,,,,,,,
Rwanda,,2450,1520,3798,1222,703,,,,,,,,,
Serbia,,,,,1031,2211,4405,11255,8494,,,,,,
Sierra Leone,,,78,2774,109,1032,3285,5439,1279,,,,,,
Somalia,,,,,,,,,,,,,,1248,27
Sri Lanka,,,,220,250,60,,,,3954,4186,3042,5166,285,
Sudan,,,,,,,,,,4543,7491,19458,37064,34100,8985
Uganda,,,,,,,,,,,,,,,7237
Venezuela,,,,,,,,,2197,6850,5350,4620,5491,5437,14149
West Bank/Gaza,,,,,,,,,,,,5252,6467,4863,428
Zimbabwe,,,,,,122,2423,5571,2017,6591,2999,984,225,,290